,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
0,RT @RShivshankar: Big feather in the 'Make In India' cap. Indigenous vaccine manufacturer Bharat Biotech takes India a step closer to acqui…,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,0,0.1,neutral,0,1,0,0,123,20,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,"['', 'big', 'feather', 'in', 'the', 'make', 'in', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'a', 'step', 'closer', 'to', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'step', 'closer', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigen', 'vaccin', 'manufactur', 'bharat', 'biotech', 'take', 'india', 'step', 'closer', 'acqui', '']"
1,"RT @Dharma2X: Bharat Biotech's #Covaxin gets emergency approval for kids aged 2-18 years | hmtv 🍀🌟

Dr. @Swamy39 jee.. Thanks for your kind…",bharat biotech s  covaxin gets emergency approval for kids aged 2 18 years   hmtv     dr    jee   thanks for your kind,0.233333333,0.5,positive,0.1,0.538,0.362,0.7783,120,20,bharat biotech s  covaxin gets emergency approval for kids aged   years   hmtv     dr    jee   thanks for your kind,"['', 'bharat', 'biotech', 's', 'covaxin', 'gets', 'emergency', 'approval', 'for', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'for', 'your', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'gets', 'emergency', 'approval', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'get', 'emerg', 'approv', 'kid', 'age', 'year', 'hmtv', 'dr', 'jee', 'thank', 'kind', '']"
2,RT @KA1DEN9: The one thing Biden could do right is bring #Covaxin to the United States @US_FDA @BharatBiotech @Ocugen @WHO @POTUS,the one thing biden could do right is bring  covaxin to the united states   fda,0.285714286,0.535714286,positive,0,0.833,0.167,0.4215,88,15,the one thing biden could do right is bring  covaxin to the united states   fda,"['', 'the', 'one', 'thing', 'biden', 'could', 'do', 'right', 'is', 'bring', 'covaxin', 'to', 'the', 'united', 'states', 'fda', '']","['', 'one', 'thing', 'biden', 'could', 'right', 'bring', 'covaxin', 'united', 'states', 'fda', '']","['', 'one', 'thing', 'biden', 'could', 'right', 'bring', 'covaxin', 'unit', 'state', 'fda', '']"
3,The one thing Biden could do right is bring #Covaxin to the United States @US_FDA @BharatBiotech @Ocugen @WHO @POTUS https://t.co/T3sebrvzfv,the one thing biden could do right is bring  covaxin to the united states   fda,0.285714286,0.535714286,positive,0,0.833,0.167,0.4215,89,15,the one thing biden could do right is bring  covaxin to the united states   fda,"['the', 'one', 'thing', 'biden', 'could', 'do', 'right', 'is', 'bring', 'covaxin', 'to', 'the', 'united', 'states', 'fda', '']","['one', 'thing', 'biden', 'could', 'right', 'bring', 'covaxin', 'united', 'states', 'fda', '']","['one', 'thing', 'biden', 'could', 'right', 'bring', 'covaxin', 'unit', 'state', 'fda', '']"
4,RT @RShivshankar: Big feather in the 'Make In India' cap. Indigenous vaccine manufacturer Bharat Biotech takes India a step closer to acqui…,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,0,0.1,neutral,0,1,0,0,123,20,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,"['', 'big', 'feather', 'in', 'the', 'make', 'in', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'a', 'step', 'closer', 'to', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'step', 'closer', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigen', 'vaccin', 'manufactur', 'bharat', 'biotech', 'take', 'india', 'step', 'closer', 'acqui', '']"
5,@coffeedude9 No way my kiddo getting that crap only #Covaxin for my kids.,no way my kiddo getting that crap only  covaxin for my kids,-0.4,0.9,negative,0.324,0.676,0,-0.5859,62,12,no way my kiddo getting that crap only  covaxin for my kids,"['', 'no', 'way', 'my', 'kiddo', 'getting', 'that', 'crap', 'only', 'covaxin', 'for', 'my', 'kids', '']","['', 'way', 'kiddo', 'getting', 'crap', 'covaxin', 'kids', '']","['', 'way', 'kiddo', 'get', 'crap', 'covaxin', 'kid', '']"
6,"RT @DNeurosx: Approval of #COVAXIN for 2-18 years age group children will finish market for Moderna and Pfizer in India …

Chetan Bhagat ou…",approval of  covaxin for 2 18 years age group children will finish market for moderna and pfizer in india    chetan bhagat ou,0,0,positive,0,0.866,0.134,0.4767,127,22,approval of  covaxin for   years age group children will finish market for moderna and pfizer in india    chetan bhagat ou,"['', 'approval', 'of', 'covaxin', 'for', 'years', 'age', 'group', 'children', 'will', 'finish', 'market', 'for', 'moderna', 'and', 'pfizer', 'in', 'india', 'chetan', 'bhagat', 'ou', '']","['', 'approval', 'covaxin', 'years', 'age', 'group', 'children', 'finish', 'market', 'moderna', 'pfizer', 'india', 'chetan', 'bhagat', 'ou', '']","['', 'approv', 'covaxin', 'year', 'age', 'group', 'children', 'finish', 'market', 'moderna', 'pfizer', 'india', 'chetan', 'bhagat', 'ou', '']"
7,RT @blsanthosh: #COVAXIN vaccine approved for children aged 2 - 18 ... Another milestone in handling #COVID19 ... Well done scientists .,covaxin vaccine approved for children aged 2   18     another milestone in handling  covid19     well done scientists,-0.1,0.4,positive,0,0.726,0.274,0.5994,121,16,covaxin vaccine approved for children aged         another milestone in handling  covid     well done scientists,"['', 'covaxin', 'vaccine', 'approved', 'for', 'children', 'aged', 'another', 'milestone', 'in', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccine', 'approved', 'children', 'aged', 'another', 'milestone', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccin', 'approv', 'children', 'age', 'anoth', 'mileston', 'handl', 'covid', 'well', 'done', 'scientist', '']"
8,"RT @PMuralidharRao: #Covaxin will be soon available for children above 2 years of age!!

Indian Scientists deserve huge applause for this m…",covaxin will be soon available for children above 2 years of age    indian scientists deserve huge applause for this m,0.266666667,0.466666667,positive,0,0.758,0.242,0.6249,121,20,covaxin will be soon available for children above  years of age    indian scientists deserve huge applause for this m,"['', 'covaxin', 'will', 'be', 'soon', 'available', 'for', 'children', 'above', 'years', 'of', 'age', 'indian', 'scientists', 'deserve', 'huge', 'applause', 'for', 'this', 'm', '']","['', 'covaxin', 'soon', 'available', 'children', 'years', 'age', 'indian', 'scientists', 'deserve', 'huge', 'applause', '']","['', 'covaxin', 'soon', 'avail', 'children', 'year', 'age', 'indian', 'scientist', 'deserv', 'huge', 'applaus', '']"
9,RT @sumanthraman: No other Covid vaccine is approved for Chidren below 12 in any part of the developed world. Pfizer and Moderna likely to…,no other covid vaccine is approved for chidren below 12 in any part of the developed world  pfizer and moderna likely to,0.054166667,0.558333333,positive,0.088,0.8,0.112,0.1531,122,22,no other covid vaccine is approved for chidren below  in any part of the developed world  pfizer and moderna likely to,"['', 'no', 'other', 'covid', 'vaccine', 'is', 'approved', 'for', 'chidren', 'below', 'in', 'any', 'part', 'of', 'the', 'developed', 'world', 'pfizer', 'and', 'moderna', 'likely', 'to', '']","['', 'covid', 'vaccine', 'approved', 'chidren', 'part', 'developed', 'world', 'pfizer', 'moderna', 'likely', '']","['', 'covid', 'vaccin', 'approv', 'chidren', 'part', 'develop', 'world', 'pfizer', 'moderna', 'like', '']"
10,"RT @Dharma2X: Bharat Biotech's #Covaxin gets emergency approval for kids aged 2-18 years | hmtv 🍀🌟

Dr. @Swamy39 jee.. Thanks for your kind…",bharat biotech s  covaxin gets emergency approval for kids aged 2 18 years   hmtv     dr    jee   thanks for your kind,0.233333333,0.5,positive,0.1,0.538,0.362,0.7783,120,20,bharat biotech s  covaxin gets emergency approval for kids aged   years   hmtv     dr    jee   thanks for your kind,"['', 'bharat', 'biotech', 's', 'covaxin', 'gets', 'emergency', 'approval', 'for', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'for', 'your', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'gets', 'emergency', 'approval', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'get', 'emerg', 'approv', 'kid', 'age', 'year', 'hmtv', 'dr', 'jee', 'thank', 'kind', '']"
