,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
0,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
1,"#Covaxin  approved by @WHO , the side effect was natural

Moderna 🔻18%
BioNTech 🔻18%
Merck &amp; Co 🔻9%
Novavax 🔻10%
Regeneron 🔻7%", covaxin  approved by     the side effect was natural  moderna  18  biontech  18  merck  amp  co  9  novavax  10  regeneron  7 ,0.1,0.4,positive,0.0,0.751,0.249,0.6486,127,20, covaxin  approved by     the side effect was natural  moderna    biontech    merck  amp  co    novavax    regeneron   ,"['', 'covaxin', 'approved', 'by', 'the', 'side', 'effect', 'was', 'natural', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']","['', 'covaxin', 'approved', 'side', 'effect', 'natural', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']","['', 'covaxin', 'approv', 'side', 'effect', 'natur', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']"
2,"RT @B1llyTh2K3d: The next big drop of news will either be 

- Gov't funding to scale-up production in the US 

- Jubilant completing their…", the next big drop of news will either be     gov t funding to scale up production in the us     jubilant completing their ,0.0,0.05,positive,0.084,0.757,0.159,0.4404,123,22, the next big drop of news will either be     gov t funding to scale up production in the us     jubilant completing their ,"['', 'the', 'next', 'big', 'drop', 'of', 'news', 'will', 'either', 'be', 'gov', 't', 'funding', 'to', 'scale', 'up', 'production', 'in', 'the', 'us', 'jubilant', 'completing', 'their', '']","['', 'next', 'big', 'drop', 'news', 'either', 'gov', 'funding', 'scale', 'production', 'us', 'jubilant', 'completing', '']","['', 'next', 'big', 'drop', 'news', 'either', 'gov', 'fund', 'scale', 'product', 'us', 'jubil', 'complet', '']"
3,"#COVAXIN And all this time #OCUGEN working to bring life saving vaccine to USA, stock go down, when they should hav… https://t.co/2Ep60dY85K", covaxin and all this time  ocugen working to bring life saving vaccine to usa  stock go down  when they should hav   ,-0.15555555555555559,0.2888888888888889,neutral,0.0,1.0,0.0,0.0,118,21, covaxin and all this time  ocugen working to bring life saving vaccine to usa  stock go down  when they should hav   ,"['', 'covaxin', 'and', 'all', 'this', 'time', 'ocugen', 'working', 'to', 'bring', 'life', 'saving', 'vaccine', 'to', 'usa', 'stock', 'go', 'down', 'when', 'they', 'should', 'hav', '']","['', 'covaxin', 'time', 'ocugen', 'working', 'bring', 'life', 'saving', 'vaccine', 'usa', 'stock', 'go', 'hav', '']","['', 'covaxin', 'time', 'ocugen', 'work', 'bring', 'life', 'save', 'vaccin', 'usa', 'stock', 'go', 'hav', '']"
4,"RT @WHO: 🆕 WHO has granted emergency use listing (EUL) to #COVAXIN® (developed by Bharat Biotech), adding to a growing portfolio of vaccine…",   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,0.1,0.3,positive,0.117,0.717,0.166,0.0258,132,20,   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,"['', 'who', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'covaxin', 'developed', 'by', 'bharat', 'biotech', 'adding', 'to', 'a', 'growing', 'portfolio', 'of', 'vaccine', '']","['', 'granted', 'emergency', 'use', 'listing', 'eul', 'covaxin', 'developed', 'bharat', 'biotech', 'adding', 'growing', 'portfolio', 'vaccine', '']","['', 'grant', 'emerg', 'use', 'list', 'eul', 'covaxin', 'develop', 'bharat', 'biotech', 'ad', 'grow', 'portfolio', 'vaccin', '']"
5,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
6,RT @Dr_subhro: My thoughts on #covaxin approval by WHO in #TimesofIndia kolkata edition @rahulkanwal @Monideepa62 @peerless_info @Mike_Durk…, my thoughts on  covaxin approval by who in  timesofindia kolkata edition       info   durk ,0.0,0.0,positive,0.0,0.795,0.205,0.4767,92,13, my thoughts on  covaxin approval by who in  timesofindia kolkata edition       info   durk ,"['', 'my', 'thoughts', 'on', 'covaxin', 'approval', 'by', 'who', 'in', 'timesofindia', 'kolkata', 'edition', 'info', 'durk', '']","['', 'thoughts', 'covaxin', 'approval', 'timesofindia', 'kolkata', 'edition', 'info', 'durk', '']","['', 'thought', 'covaxin', 'approv', 'timesofindia', 'kolkata', 'edit', 'info', 'durk', '']"
7,It's a proud moment for our country. We've got approval for a made in India vaccine. Earlier India was a vaccine ma… https://t.co/0g6eeRFdX7,it s a proud moment for our country  we ve got approval for a made in india vaccine  earlier india was a vaccine ma   ,0.4,0.75,positive,0.0,0.744,0.256,0.7351,118,24,it s a proud moment for our country  we ve got approval for a made in india vaccine  earlier india was a vaccine ma   ,"['it', 's', 'a', 'proud', 'moment', 'for', 'our', 'country', 'we', 've', 'got', 'approval', 'for', 'a', 'made', 'in', 'india', 'vaccine', 'earlier', 'india', 'was', 'a', 'vaccine', 'ma', '']","['proud', 'moment', 'country', 'got', 'approval', 'made', 'india', 'vaccine', 'earlier', 'india', 'vaccine', '']","['proud', 'moment', 'countri', 'got', 'approv', 'made', 'india', 'vaccin', 'earlier', 'india', 'vaccin', '']"
8,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
9,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
